,EnsemblIDs,Transcription_Mean
0,ENSG00000132275,1001.547797
1,ENSG00000150681,1035.306674
2,ENSG00000130066,1049.415017
3,ENSG00000167995,1051.552203
4,ENSG00000090238,1054.88911
5,ENSG00000283926,1093.983945
6,ENSG00000146112,1104.833173
7,ENSG00000104946,1111.432047
8,ENSG00000204296,1119.761649
9,ENSG00000255552,1131.347076
10,ENSG00000168071,1132.76152
11,ENSG00000143226,1145.319985
12,ENSG00000087086,1159.895707
13,ENSG00000284055,1163.245108
14,ENSG00000068831,1169.060319
15,ENSG00000188185,1182.275586
16,ENSG00000105617,1185.406831
17,ENSG00000158985,1197.864194
18,ENSG00000200259,1203.819129
19,ENSG00000158517,1223.752322
20,ENSG00000204498,1243.848543
21,ENSG00000173535,1247.486695
22,ENSG00000143384,1269.197107
23,ENSG00000241404,1285.849712
24,ENSG00000139641,1291.588382
25,ENSG00000105968,1294.923948
26,ENSG00000163993,1300.850743
27,ENSG00000131398,1307.928948
28,ENSG00000158773,1308.8785
29,ENSG00000122679,1316.985584
30,ENSG00000251862,1323.808288
31,ENSG00000188643,1379.385297
32,ENSG00000265236,1387.394002
33,ENSG00000188404,1402.604156
34,ENSG00000142347,1407.306956
35,ENSG00000196961,1445.950275
36,ENSG00000158604,1464.7924
37,ENSG00000143614,1472.910383
38,ENSG00000209042,1474.73045
39,ENSG00000203710,1506.72132
40,ENSG00000180871,1509.678179
41,ENSG00000163466,1514.358062
42,ENSG00000146006,1565.68393
43,ENSG00000185885,1695.704143
44,ENSG00000143578,1745.621682
45,ENSG00000284564,1777.438546
46,ENSG00000116701,1786.158935
47,ENSG00000265874,1823.515903
48,ENSG00000130755,1834.139474
49,ENSG00000204264,1856.237245
50,ENSG00000204267,1933.3914
51,ENSG00000163221,2000.227927
52,ENSG00000237441,2034.683849
53,ENSG00000185507,2039.56472
54,ENSG00000133112,2108.178029
55,ENSG00000285441,2109.701327
56,ENSG00000158710,2151.788208
57,ENSG00000149043,2154.326215
58,ENSG00000006715,2260.500274
59,ENSG00000203747,2527.149613
60,ENSG00000206337,2534.163956
61,ENSG00000142544,2548.290182
62,ENSG00000154229,2595.723468
63,ENSG00000130935,2632.669044
64,ENSG00000174485,2691.65404
65,ENSG00000120063,2706.111889
66,ENSG00000206503,2741.775873
67,ENSG00000176809,2841.83325
68,ENSG00000227507,2877.98465
69,ENSG00000222831,2938.189844
70,ENSG00000284567,3080.516158
71,ENSG00000234438,3132.287444
72,ENSG00000113520,3144.448675
73,ENSG00000221616,3210.415422
74,ENSG00000011600,3213.108987
75,ENSG00000143515,3317.998858
76,ENSG00000204592,3451.245921
77,ENSG00000200394,3482.283528
78,ENSG00000207943,3487.767939
79,ENSG00000116741,3510.242801
80,ENSG00000205363,3639.947206
81,ENSG00000166173,3740.982485
82,ENSG00000259581,3845.144901
83,ENSG00000160688,3854.966413
84,ENSG00000117984,3929.403131
85,ENSG00000122862,4596.458032
86,ENSG00000163191,4846.703475
87,ENSG00000163344,5009.529489
88,ENSG00000160716,5547.483162
89,ENSG00000215938,5675.973927
90,ENSG00000143549,5735.833122
91,ENSG00000177042,5796.043822
92,ENSG00000160712,5846.466277
93,ENSG00000169291,6246.040444
94,ENSG00000205542,6347.758831
95,ENSG00000163220,8161.589355
96,ENSG00000143546,9450.962152
97,ENSG00000160714,11037.10085
98,ENSG00000069011,18165.74873
99,ENSG00000263963,72517.1705
